"macronutrient","variable","estimate","SE","p-value","statistic"
"carbohydrate","Intercept",0.0125868142292491,0.00365035438430244,0.000564529361120247,NA
"carbohydrate","male",-0.010893090909091,0.00415918768687048,0.00881768621489459,NA
"carbohydrate","day 2",0.00668347826086957,0.00252318140009794,0.00807709808519284,NA
"carbohydrate","day 3-4",0.0160330434782609,0.00252318140009796,2.09382230139895e-10,NA
"carbohydrate","day 5-6",0.0259669565217392,0.00252318140009796,7.70835712358555e-25,NA
"carbohydrate","day 7-9",0.0350060869565218,0.00252318140009795,9.1322119831649e-44,NA
"carbohydrate","none",-0.00610145454545452,0.00409470025111404,0.136201687279753,NA
"protein","Intercept",0.00227917786561266,0.00146128362080249,0.118828559069387,NA
"protein","male",-0.00369430303030293,0.00140863894895393,0.00872604694940921,NA
"protein","day 2",0.000529565217391303,0.0014991671911561,0.72390882324689,NA
"protein","day 3-4",0.00341478260869567,0.00149916719115611,0.0227393082268203,NA
"protein","day 5-6",0.00710347826086959,0.00149916719115611,2.15536778523434e-06,NA
"protein","day 7-9",0.0125817391304348,0.00149916719115611,4.75970140865366e-17,NA
"protein","none",-0.000990181818181893,0.00138679826260753,0.475223675368978,NA
"carbohydrate","s(id)",NA,NA,0,484.706154211054
"protein","s(id)",NA,NA,0.381262716537536,110.728321426321
