"treatment","species","date","Plant C","Plant N","Plant Protein","Plant Carbohydrate","Soil NO3","Soil NO4"
"None","Enteropogon",2015-11-11,0.431993333333333,0.0311233333333333,0.163633333333333,0.145333333333333,1.38667129298907,0.331275447806624
"None","Enteropogon",2015-11-25,0.41365,0.0215,0.193566666666667,0.115333333333333,1.38667129298907,0.331275447806624
"None","Enteropogon",2015-12-01,0.405400909090909,0.0233740909090909,0.113763636363636,0.129772727272727,1.38667129298907,0.331275447806624
"None","Nutgrass",2015-11-11,0.424703333333333,0.0315266666666667,0.227933333333333,0.144333333333333,1.38667129298907,0.331275447806624
"None","Nutgrass",2015-11-25,0.417,0.0267633333333333,0.232333333333333,0.137333333333333,1.38667129298907,0.331275447806624
"None","Nutgrass",2015-12-01,0.408168421052632,0.0257115789473684,0.153552631578947,0.125736842105263,1.38667129298907,0.331275447806624
"None","Plaspladium",2015-12-01,0.3986,0.028025,0.1827,0.095,1.38667129298907,0.331275447806624
"None","Ustrostipa",2015-12-01,0.41587,0.01319,0.1496,0.104,1.38667129298907,0.331275447806624
"None","Wallaby",2015-11-11,0.41972,0.0258966666666667,0.189833333333333,0.124333333333333,1.38667129298907,0.331275447806624
"None","Wallaby",2015-11-25,0.416583333333333,0.02745,0.232366666666667,0.133,1.38667129298907,0.331275447806624
"None","Wallaby",2015-12-01,0.417823636363636,0.0217609090909091,0.142181818181818,0.120545454545455,1.38667129298907,0.331275447806624
"None","unknown",2015-12-01,0.413383333333333,0.0305766666666667,0.167866666666667,0.100666666666667,1.38667129298907,0.331275447806624
"Medium","Enteropogon",2015-11-11,0.430903333333333,0.04166,0.209366666666667,0.125666666666667,2.8310985468207,3.3852348346665
"Medium","Enteropogon",2015-11-25,0.416843333333333,0.0263233333333333,0.2099,0.136666666666667,2.8310985468207,3.3852348346665
"Medium","Enteropogon",2015-12-01,0.415454545454545,0.0220554545454545,0.145509090909091,0.123818181818182,2.8310985468207,3.3852348346665
"Medium","Nutgrass",2015-11-11,0.423966666666667,0.03759,0.212633333333333,0.119333333333333,2.8310985468207,3.3852348346665
"Medium","Nutgrass",2015-11-25,0.42011,0.02876,0.238533333333333,0.127,2.8310985468207,3.3852348346665
"Medium","Nutgrass",2015-12-01,0.41836,0.0223128571428571,0.187728571428571,0.135428571428571,2.8310985468207,3.3852348346665
"Medium","Plaspladium",2015-12-01,0.4135075,0.0197225,0.243025,0.0935,2.8310985468207,3.3852348346665
"Medium","Wallaby",2015-11-11,0.422276666666667,0.03689,0.2272,0.106333333333333,2.8310985468207,3.3852348346665
"Medium","Wallaby",2015-11-25,0.420253333333333,0.02792,0.241933333333333,0.115,2.8310985468207,3.3852348346665
"Medium","Wallaby",2015-12-01,0.422088333333333,0.0210116666666667,0.180733333333333,0.1155,2.8310985468207,3.3852348346665
"High","Digitaria",2015-12-01,0.418505,0.0269,0.1815,0.1075,3.23753456518415,4.20703460291791
"High","Enteropogon",2015-11-11,0.425286666666667,0.0301266666666667,0.199133333333333,0.128333333333333,3.23753456518415,4.20703460291791
"High","Enteropogon",2015-11-25,0.414226666666667,0.02832,0.180133333333333,0.120333333333333,3.23753456518415,4.20703460291791
"High","Enteropogon",2015-12-01,0.414406363636364,0.0236309090909091,0.163472727272727,0.125181818181818,3.23753456518415,4.20703460291791
"High","Nutgrass",2015-11-11,0.423086666666667,0.0298866666666667,0.228433333333333,0.125,3.23753456518415,4.20703460291791
"High","Nutgrass",2015-11-25,0.41534,0.0316666666666667,0.219633333333333,0.131333333333333,3.23753456518415,4.20703460291791
"High","Nutgrass",2015-12-01,0.417447142857143,0.02656,0.227171428571429,0.125714285714286,3.23753456518415,4.20703460291791
"High","Plaspladium",2015-12-01,0.40037,0.02904,0.2333,0.12,3.23753456518415,4.20703460291791
"High","Wallaby",2015-11-11,0.424103333333333,0.02292,0.206433333333333,0.125,3.23753456518415,4.20703460291791
"High","Wallaby",2015-11-25,0.421856666666667,0.02943,0.242633333333333,0.111666666666667,3.23753456518415,4.20703460291791
"High","Wallaby",2015-12-01,0.419371428571429,0.0247871428571429,0.216628571428571,0.117,3.23753456518415,4.20703460291791
